<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;390.4756116;980.9947195;133.8135935;686.7;686.7;1;1;124;0;863.5964977;0;None;
2;g2;21.31127898;156.8604982;9.731938;109.8;109.8;1;1;150;0;60.33898039;0;None;
3;g3;0.0;281.0973544;0.0;196.77;196.77;1;1;221;0;69.36819713;0;None;
4;g4;0.0;118.5336471;9.993301481;82.97;82.97;4;4;338;0;103.7106493;0;None;
5;g5;673.4256687;1977.722509;122.261561;1384.41;1384.41;1;1;352;0;1121.193111;0;None;
6;g6;35.44918402;276.2611557;13.0987311;193.38;193.38;2;2;413;0;403.2691516;0;None;
7;g7;0.0;540.0;11.67476376;378.0;378.0;4;4;453;0;87.16468184;0;None;
8;g8;214.6773597;599.7329322;111.9992634;419.81;419.81;1;1;516;0;803.3647083;0;None;
9;g9;0.0;133.2542829;0.0;93.28;93.28;2;2;564;0;129.4869657;0;None;
10;g10;0.0;403.3786422;0.0;282.37;282.37;2;2;583;0;118.4086655;0;None;
11;g11;0.0;31.46327225;0.0;22.02;22.02;2;2;615;0;63.57948686;0;None;
12;g12;164.1637946;479.7254647;86.09735114;335.81;335.81;4;4;616;0;474.0232791;0;None;
13;g13;0.0;131.8695314;0.0;92.31;92.31;4;4;639;0;115.8449594;0;None;
14;g14;14.90513407;73.27190787;0.0;51.29;51.29;2;2;682;0;258.6800505;0;None;
15;g15;37.55930135;237.3273649;20.28244655;166.13;166.13;2;2;749;0;233.9219822;0;None;
16;g16;0.0;118.772598;9.770534686999998;83.14;83.14;1;1;757;0;123.7091202;0;None;
17;g17;0.0;209.059042;0.0;146.34;146.34;1;1;776;0;95.30854615;0;None;
18;g18;0.563895428;26.69328749;0.0;18.69;18.69;2;2;778;0;56.60505093;0;None;
19;g19;13.24040909;77.37597954;0.0;54.16;54.16;1;1;795;0;254.9319437;0;None;
20;g20;0.0;177.7985373;0.0;124.46;124.46;4;4;803;0;117.8697957;0;None;
21;g21;671.2632096;1985.473801;147.3460002;1389.83;1389.83;1;1;823;0;1506.792711;0;None;
22;g22;16.50004997;195.0486186;7.365422582;136.53;136.53;1;1;851;0;192.1001437;0;None;
23;g23;388.5436944;987.4454893;138.7572011;691.21;691.21;4;4;858;0;801.7969906;0;None;
24;g24;840.8139059;2385.411557;83.14583743;1669.79;1669.79;2;2;891;0;1163.623116;0;None;
25;g25;674.7103255;1975.002814;101.3139568;1382.5;1382.5;4;4;972;0;1010.470264;0;None;
26;g26;0.0;118.8222335;9.75998612;83.18;83.18;1;1;1001;0;99.31581923;0;None;
