<BEGIN>
<Buses>
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
1;Bus1;Ref;45;1;sys1;1
2;Bus2;;45;1;sys1;1
3;Bus3;;45;1;sys1;1
4;Bus4;;45;1;sys1;1
5;Bus5;;45;1;sys1;1
6;Bus6;;45;1;sys1;1
7;Bus7;;45;1;sys1;1
8;Bus8;;45;1;sys1;1
9;Bus9;;45;1;sys1;1
10;Bus10;;45;1;sys1;1
11;Bus11;;45;1;sys1;1
12;Bus12;;45;1;sys1;1
13;Bus13;;45;1;sys1;1
14;Bus14;;45;1;sys1;1
</Buses>
<AC Transmission lines>
From (ID);From (Name);To (ID);To (Name);Line rating (MW);Reactance (p.u.) - 100-MVA base
1;Bus1;2;Bus2;99999.0;10.0;
1;Bus1;5;Bus5;99999.0;10.0;
2;Bus2;3;Bus3;99999.0;10.0;
2;Bus2;4;Bus4;1000.0;10.0;
2;Bus2;5;Bus5;99999.0;10.0;
3;Bus3;4;Bus4;99999.0;10.0;
4;Bus4;5;Bus5;99999.0;10.0;
4;Bus4;7;Bus7;99999.0;10.0;
4;Bus4;9;Bus9;99999.0;10.0;
5;Bus5;6;Bus6;99999.0;10.0;
6;Bus6;11;Bus11;99999.0;10.0;
6;Bus6;12;Bus12;99999.0;10.0;
7;Bus7;8;Bus8;1000.0;10.0;
7;Bus7;9;Bus9;1000.0;10.0;
9;Bus9;10;Bus10;99999.0;10.0;
10;Bus10;11;Bus11;1000.0;10.0;
12;Bus12;13;Bus13;99999.0;10.0;
13;Bus13;14;Bus14;99999.0;10.0;
</AC Transmission lines>
</END>
<DC Links>
From (ID);From (Name);To (ID);To (Name);Rating (MW)
</DC Links>
