<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;81.05580053;398.7901199;334.9094396;279.15;279.15;1;1;10;0;6253.712;0;None;
2;g2;163.4329903;720.0;458.7993316;504.0;504.0;1;1;16;0;2671.665;0;None;
3;g3;120.0342295;1080.0;735.4095845;756.0;756.0;1;1;17;0;18860.571;0;None;
4;g4;120.0;2520.0;239.51868739999998;1764.0;1764.0;4;4;18;0;13412.665;0;None;
5;g5;74.95124792;399.4699287;341.8914915;279.63;279.63;1;1;29;0;6652.945;0;None;
6;g6;140.6963485;793.6013926;410.74386559999994;555.52;555.52;2;2;30;0;4087.667;0;None;
7;g7;159.5676086;998.2873007;1663.452419;698.8;698.8;4;4;31;0;14285.114;0;None;
8;g8;73.42476467;199.8005784;148.500433;139.86;139.86;1;1;41;0;2267.417;0;None;
9;g9;83.74023936;408.4963512;395.8234716;285.95;285.95;2;2;42;0;6931.006;0;None;
10;g10;92.39958584;407.5487246;427.1652634;285.28;285.28;2;2;43;0;5300.244;0;None;
11;g11;87.59565383;408.0744379;435.0208872;285.65;285.65;2;2;44;0;3267.359;0;None;
12;g12;41.89830986;41.89830986;0.0;29.33;29.33;4;4;45;0;72.419;0;None;
13;g13;167.3968761;650.0;771.9907024;455.0;455.0;4;4;63;0;3936.288;0;None;
14;g14;147.0653573;450.0;454.5543275;315.0;315.0;2;2;64;0;3359.498;0;None;
15;g15;341.2500286;750.0;858.0529428;525.0;525.0;2;2;67;0;7574.362;0;None;
16;g16;181.4802654;219.0046931;754.5551582;153.3;153.3;1;1;83;0;2362.231;0;None;
17;g17;179.615641;219.2712407;739.8445206;153.49;153.49;1;1;84;0;3034.348;0;None;
18;g18;46.47753391;119.1862238;343.6628285;83.43;83.43;2;2;85;0;1028.473;0;None;
19;g19;43.30885424;119.4255523;287.1890154;83.6;83.6;1;1;86;0;1108.738;0;None;
20;g20;83.29340996;116.7920438;567.3964083;81.75;81.75;4;4;93;0;850.694;0;None;
21;g21;61.12166426;108.0668891;1384.917932;75.65;75.65;1;1;95;0;468.339;0;None;
22;g22;84.40262738;84.77972772;408.76597080000005;59.35;59.35;1;1;97;0;108.562;0;None;
23;g23;164.5613974;397.7687307;594.0069269;278.44;278.44;4;4;103;0;6314.465;0;None;
24;g24;181.7275424;219.6336769;739.2134940000001;153.74;153.74;2;2;104;0;4208.327;0;None;
