<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
1;g1;0.0;0;FALSE;FALSE;24;
2;g2;0.0;0;FALSE;FALSE;24;
3;g3;368.7398598000404;1;FALSE;FALSE;24;
4;g4;0.0;0;FALSE;FALSE;24;
5;g5;0.0;0;FALSE;FALSE;24;
6;g6;367.76256036081094;1;FALSE;FALSE;24;
7;g7;293.5308454087376;1;FALSE;FALSE;24;
8;g8;0.0;0;FALSE;FALSE;24;
9;g9;368.99329241745556;1;FALSE;FALSE;24;
10;g10;368.61839389235354;1;FALSE;FALSE;24;
11;g11;0.0;0;FALSE;FALSE;24;
12;g12;291.9450494033222;1;FALSE;FALSE;24;
13;g13;368.1921864210263;1;FALSE;FALSE;24;
14;g14;0.0;0;FALSE;FALSE;24;
15;g15;0.0;0;FALSE;FALSE;24;
16;g16;218.92613505200134;1;FALSE;FALSE;24;
17;g17;0.0;0;FALSE;FALSE;24;
18;g18;0.0;0;FALSE;FALSE;24;
19;g19;0.0;0;FALSE;FALSE;24;
20;g20;535.0;1;FALSE;FALSE;24;
21;g21;560.0;1;FALSE;FALSE;24;
22;g22;0.0;0;FALSE;FALSE;24;
23;g23;0.0;0;FALSE;FALSE;24;
24;g24;0.0;0;FALSE;FALSE;24;
25;g25;0.0;0;FALSE;FALSE;24;
26;g26;0.0;0;FALSE;FALSE;24;
27;g27;0.0;0;FALSE;FALSE;24;
28;g28;0.0;0;FALSE;FALSE;24;
29;g29;0.0;0;FALSE;FALSE;24;
30;g30;0.0;0;FALSE;FALSE;24;
31;g31;0.0;0;FALSE;FALSE;24;
32;g32;0.0;0;FALSE;FALSE;24;
33;g33;0.0;0;FALSE;FALSE;24;
34;g34;0.0;0;FALSE;FALSE;24;
35;g35;379.3050206610445;1;FALSE;FALSE;24;
36;g36;367.81017582664134;1;FALSE;FALSE;24;
37;g37;9.0;1;FALSE;FALSE;24;
38;g38;0.0;0;FALSE;FALSE;24;
39;g39;0.0;0;FALSE;FALSE;24;
40;g40;0.0;0;FALSE;FALSE;24;
