<BEGIN>
<Trajectories of units>
Plant name;Plant ID;Unit;Trajectory;Steps
g1;1;1;Start-up;
g1;1;1;Shut-down;
g2;2;2;Start-up;
g2;2;2;Shut-down;
g3;3;3;Start-up;
g3;3;3;Shut-down;
g4;4;4;Start-up;
g4;4;4;Shut-down;
g5;5;5;Start-up;
g5;5;5;Shut-down;
g6;6;6;Start-up;
g6;6;6;Shut-down;
g7;7;7;Start-up;
g7;7;7;Shut-down;
g8;8;8;Start-up;
g8;8;8;Shut-down;
g9;9;9;Start-up;
g9;9;9;Shut-down;
g10;10;10;Start-up;
g10;10;10;Shut-down;
g11;11;11;Start-up;
g11;11;11;Shut-down;
g12;12;12;Start-up;
g12;12;12;Shut-down;
g13;13;13;Start-up;
g13;13;13;Shut-down;
g14;14;14;Start-up;
g14;14;14;Shut-down;
g15;15;15;Start-up;
g15;15;15;Shut-down;
g16;16;16;Start-up;
g16;16;16;Shut-down;
g17;17;17;Start-up;
g17;17;17;Shut-down;
g18;18;18;Start-up;
g18;18;18;Shut-down;
g19;19;19;Start-up;
g19;19;19;Shut-down;
g20;20;20;Start-up;
g20;20;20;Shut-down;
g21;21;21;Start-up;
g21;21;21;Shut-down;
g22;22;22;Start-up;
g22;22;22;Shut-down;
g23;23;23;Start-up;
g23;23;23;Shut-down;
g24;24;24;Start-up;
g24;24;24;Shut-down;
g25;25;25;Start-up;
g25;25;25;Shut-down;
g26;26;26;Start-up;
g26;26;26;Shut-down;
g27;27;27;Start-up;
g27;27;27;Shut-down;
g28;28;28;Start-up;
g28;28;28;Shut-down;
g29;29;29;Start-up;
g29;29;29;Shut-down;
g30;30;30;Start-up;
g30;30;30;Shut-down;
g31;31;31;Start-up;
g31;31;31;Shut-down;
g32;32;32;Start-up;
g32;32;32;Shut-down;
g33;33;33;Start-up;
g33;33;33;Shut-down;
g34;34;34;Start-up;
g34;34;34;Shut-down;
g35;35;35;Start-up;
g35;35;35;Shut-down;
g36;36;36;Start-up;
g36;36;36;Shut-down;
g37;37;37;Start-up;
g37;37;37;Shut-down;
g38;38;38;Start-up;
g38;38;38;Shut-down;
g39;39;39;Start-up;
g39;39;39;Shut-down;
g40;40;40;Start-up;
g40;40;40;Shut-down;
g41;41;41;Start-up;
g41;41;41;Shut-down;
g42;42;42;Start-up;
g42;42;42;Shut-down;
g43;43;43;Start-up;
g43;43;43;Shut-down;
g44;44;44;Start-up;
g44;44;44;Shut-down;
g45;45;45;Start-up;
g45;45;45;Shut-down;
g46;46;46;Start-up;
g46;46;46;Shut-down;
g47;47;47;Start-up;
g47;47;47;Shut-down;
g48;48;48;Start-up;
g48;48;48;Shut-down;
g49;49;49;Start-up;
g49;49;49;Shut-down;
g50;50;50;Start-up;
g50;50;50;Shut-down;
g51;51;51;Start-up;
g51;51;51;Shut-down;
g52;52;52;Start-up;
g52;52;52;Shut-down;
g53;53;53;Start-up;
g53;53;53;Shut-down;
g54;54;54;Start-up;
g54;54;54;Shut-down;
g55;55;55;Start-up;
g55;55;55;Shut-down;
g56;56;56;Start-up;
g56;56;56;Shut-down;
g57;57;57;Start-up;
g57;57;57;Shut-down;
g58;58;58;Start-up;
g58;58;58;Shut-down;
g59;59;59;Start-up;
g59;59;59;Shut-down;
g60;60;60;Start-up;
g60;60;60;Shut-down;
g61;61;61;Start-up;
g61;61;61;Shut-down;
g62;62;62;Start-up;
g62;62;62;Shut-down;
g63;63;63;Start-up;
g63;63;63;Shut-down;
g64;64;64;Start-up;
g64;64;64;Shut-down;
g65;65;65;Start-up;
g65;65;65;Shut-down;
g66;66;66;Start-up;
g66;66;66;Shut-down;
g67;67;67;Start-up;
g67;67;67;Shut-down;
g68;68;68;Start-up;
g68;68;68;Shut-down;
g69;69;69;Start-up;
g69;69;69;Shut-down;
g70;70;70;Start-up;
g70;70;70;Shut-down;
g71;71;71;Start-up;
g71;71;71;Shut-down;
g72;72;72;Start-up;
g72;72;72;Shut-down;
g73;73;73;Start-up;
g73;73;73;Shut-down;
g74;74;74;Start-up;
g74;74;74;Shut-down;
g75;75;75;Start-up;
g75;75;75;Shut-down;
g76;76;76;Start-up;
g76;76;76;Shut-down;
g77;77;77;Start-up;
g77;77;77;Shut-down;
g78;78;78;Start-up;
g78;78;78;Shut-down;
g79;79;79;Start-up;
g79;79;79;Shut-down;
g80;80;80;Start-up;
g80;80;80;Shut-down;
g81;81;81;Start-up;
g81;81;81;Shut-down;
g82;82;82;Start-up;
g82;82;82;Shut-down;
g83;83;83;Start-up;
g83;83;83;Shut-down;
g84;84;84;Start-up;
g84;84;84;Shut-down;
g85;85;85;Start-up;
g85;85;85;Shut-down;
g86;86;86;Start-up;
g86;86;86;Shut-down;
g89;89;89;Start-up;
g89;89;89;Shut-down;
g90;90;90;Start-up;
g90;90;90;Shut-down;
g91;91;91;Start-up;
g91;91;91;Shut-down;
g92;92;92;Start-up;
g92;92;92;Shut-down;
g93;93;93;Start-up;
g93;93;93;Shut-down;
g96;96;96;Start-up;
g96;96;96;Shut-down;
g101;101;101;Start-up;
g101;101;101;Shut-down;
g103;103;103;Start-up;
g103;103;103;Shut-down;
g105;105;105;Start-up;
g105;105;105;Shut-down;
g108;108;108;Start-up;
g108;108;108;Shut-down;
g109;109;109;Start-up;
g109;109;109;Shut-down;
g110;110;110;Start-up;
g110;110;110;Shut-down;
g111;111;111;Start-up;
