<BEGIN>
Plant's Name;Plant's ID;Unit's ID;Initial generation (MW);Initial state (0/1);Hours in initial state
g1;1;1;0.0;0;24;
g2;2;2;0.0;0;24;
g3;3;3;368.7398598000404;1;24;
g4;4;4;0.0;0;24;
g5;5;5;0.0;0;24;
g6;6;6;367.76256036081094;1;24;
g7;7;7;293.5308454087376;1;24;
g8;8;8;0.0;0;24;
g9;9;9;368.99329241745556;1;24;
g10;10;10;368.61839389235354;1;24;
g11;11;11;0.0;0;24;
g12;12;12;291.9450494033222;1;24;
g13;13;13;368.1921864210263;1;24;
g14;14;14;0.0;0;24;
g15;15;15;0.0;0;24;
g16;16;16;218.92613505200134;1;24;
g17;17;17;0.0;0;24;
g18;18;18;0.0;0;24;
g19;19;19;0.0;0;24;
g20;20;20;535.0;1;24;
g21;21;21;560.0;1;24;
g22;22;22;0.0;0;24;
g23;23;23;0.0;0;24;
g24;24;24;0.0;0;24;
g25;25;25;0.0;0;24;
g26;26;26;0.0;0;24;
g27;27;27;0.0;0;24;
g28;28;28;0.0;0;24;
g29;29;29;0.0;0;24;
g30;30;30;0.0;0;24;
g31;31;31;0.0;0;24;
g32;32;32;0.0;0;24;
g33;33;33;0.0;0;24;
g34;34;34;0.0;0;24;
g35;35;35;379.3050206610445;1;24;
g36;36;36;367.81017582664134;1;24;
g37;37;37;9.0;1;24;
g38;38;38;0.0;0;24;
g39;39;39;0.0;0;24;
g40;40;40;0.0;0;24;
g41;41;41;0.0;0;24;
g42;42;42;0.0;0;24;
g43;43;43;0.0;0;24;
g44;44;44;0.0;0;24;
g45;45;45;0.0;0;24;
g46;46;46;0.0;0;24;
g47;47;47;0.0;0;24;
g48;48;48;0.0;0;24;
g49;49;49;0.0;0;24;
g50;50;50;0.0;0;24;
g51;51;51;0.0;1;24;
g52;52;52;0.0;1;24;
g53;53;53;0.0;1;24;
g54;54;54;0.0;1;24;
g55;55;55;118.52388262275576;1;24;
g56;56;56;0.0;0;24;
g57;57;57;0.0;0;24;
g58;58;58;0.0;0;24;
g59;59;59;0.0;0;24;
g60;60;60;0.0;0;24;
g61;61;61;217.70834077655715;1;24;
g62;62;62;0.0;0;24;
g63;63;63;0.0;0;24;
g64;64;64;216.72764218301108;1;24;
g65;65;65;210.2561668226592;1;24;
g66;66;66;213.29548317279912;1;24;
g67;67;67;215.92960792473224;1;24;
g68;68;68;146.78595141083622;1;24;
g69;69;69;0.0;0;24;
g70;70;70;252.49952064629312;1;24;
g71;71;71;253.58054757992514;1;24;
g72;72;72;252.26289591620065;1;24;
g73;73;73;0.0;0;24;
g74;74;74;0.0;0;24;
g75;75;75;0.0;0;24;
g76;76;76;0.0;0;24;
g77;77;77;0.0;0;24;
g78;78;78;0.0;0;24;
g79;79;79;0.0;0;24;
g80;80;80;0.0;0;24;
g81;81;81;0.0;0;24;
g82;82;82;0.0;0;24;
