<BEGIN>;;;;;;;;;;;;;;;
<GENERAL INFORMATION>;;;;;;;;;;;;;;;
Power basis (MVA);100;;;;;;;;;;;;;;
</GENERAL INFORMATION>;;;;;;;;;;;;;;;
<BUSES>;;;;;;;;;;;;;;;
ID;Name;Subsystem market - Name;Subsystem market - ID;Bus type;Base voltage (kV);Minimum voltage magnitude (pu 100-MVA and base voltage);Maximum voltage magnitude (pu 100-MVA and base voltage);Minimum injection of reactive power (MVar);Maximum injection of reactive power (MVar);Area;;;;;
1;Busb1;sys1;1;Vtheta;45;0;0;0;0;1;;;;;
2;Busb2;sys1;1;PV;45;0;0;0;0;1;;;;;
3;Busb3;sys1;1;PV;45;0;0;0;0;1;;;;;
4;Busb4;sys1;1;PV;45;0;0;0;0;1;;;;;
5;Busb5;sys1;1;PV;45;0;0;0;0;1;;;;;
6;Busb6;sys1;1;PV;45;0;0;0;0;1;;;;;
7;Busb7;sys1;1;PV;45;0;0;0;0;1;;;;;
8;Busb8;sys1;1;PV;45;0;0;0;0;1;;;;;
9;Busb9;sys1;1;PV;45;0;0;0;0;1;;;;;
10;Busb10;sys1;1;PV;45;0;0;0;0;1;;;;;
11;Busb11;sys1;1;PV;45;0;0;0;0;1;;;;;
12;Busb12;sys1;1;PV;45;0;0;0;0;1;;;;;
13;Busb13;sys1;1;PV;45;0;0;0;0;1;;;;;
14;Busb14;sys1;1;PV;45;0;0;0;0;1;;;;;
15;Busb15;sys1;1;PV;45;0;0;0;0;1;;;;;
16;Busb16;sys1;1;PV;45;0;0;0;0;1;;;;;
17;Busb17;sys1;1;PV;45;0;0;0;0;1;;;;;
18;Busb18;sys1;1;PV;45;0;0;0;0;1;;;;;
19;Busb19;sys1;1;PV;45;0;0;0;0;1;;;;;
20;Busb20;sys1;1;PV;45;0;0;0;0;1;;;;;
21;Busb21;sys1;1;PV;45;0;0;0;0;1;;;;;
22;Busb22;sys1;1;PV;45;0;0;0;0;1;;;;;
23;Busb23;sys1;1;PV;45;0;0;0;0;1;;;;;
24;Busb24;sys1;1;PV;45;0;0;0;0;1;;;;;
25;Busb25;sys1;1;PV;45;0;0;0;0;1;;;;;
26;Busb26;sys1;1;PV;45;0;0;0;0;1;;;;;
27;Busb27;sys1;1;PV;45;0;0;0;0;1;;;;;
