<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;178.4904733;201.8064022;848.6432825000002;141.26;141.26;1;1;17;0;178.549;0;None;
2;g2;175.6911328;193.1006973;842.7618156;135.17;135.17;1;1;17;0;130.297;0;None;
3;g3;292.2756815;368.7398598;1005.571386;258.12;258.12;1;1;26;0;7009.322;0;None;
4;g4;292.956666;358.0789386;1115.598233;250.66;250.66;4;4;27;0;5652.392;0;None;
5;g5;290.3073383;359.0772178;1055.499723;251.35;251.35;1;1;27;0;3982.97;0;None;
6;g6;293.4717524;367.7625604;1039.358434;257.43;257.43;2;2;27;0;7232.174;0;None;
7;g7;293.5308454;367.8471318;1068.056199;257.49;257.49;4;4;26;0;4622.737;0;None;
8;g8;293.7535465;367.6970303;1146.825984;257.39;257.39;1;1;28;0;5374.945;0;None;
9;g9;291.0855715;368.9932924;946.2588947;258.3;258.3;2;2;28;0;5450.853;0;None;
10;g10;292.1512435;368.6183939;1044.104756;258.03;258.03;2;2;28;0;7352.612;0;None;
11;g11;293.1550713;368.1889006;1153.582431;257.73;257.73;2;2;29;0;5266.927;0;None;
12;g12;291.9450494;368.9509165;1062.119322;258.27;258.27;4;4;29;0;7428.769;0;None;
13;g13;292.7782265;368.1921864;978.6737955;257.73;257.73;4;4;29;0;6042.955;0;None;
14;g14;151.6328747;207.1138134;729.7999193;144.98;144.98;2;2;42;0;982.213;0;None;
15;g15;169.5738496;196.1553485;811.5432564;137.31;137.31;2;2;42;0;208.631;0;None;
16;g16;125.5220993;218.9261351;382.4818785;153.25;153.25;1;1;42;0;1702.494;0;None;
17;g17;130.8179483;219.4398713;544.8351873;153.61;153.61;1;1;43;0;1528.724;0;None;
18;g18;155.4423752;215.7019575;738.1154555;150.99;150.99;2;2;43;0;940.928;0;None;
19;g19;177.0418698;196.2737771;785.7300067;137.39;137.39;1;1;43;0;101.36;0;None;
20;g20;256.0621008;535.0;718.2848853;374.5;374.5;4;4;44;0;5258.108;0;None;
21;g21;260.9656848;560.0;781.886085;392.0;392.0;1;1;44;0;5622.463;0;None;
22;g22;156.1605733;213.8964781;791.340234;149.73;149.73;1;1;54;0;705.558;0;None;
23;g23;153.9147897;214.5812859;774.5464338;150.21;150.21;4;4;55;0;832.999;0;None;
24;g24;164.0601154;213.2279232;758.4927429;149.26;149.26;2;2;54;0;496.627;0;None;
25;g25;161.6500728;213.850217;753.9200892999999;149.7;149.7;4;4;56;0;603.898;0;None;
