<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;172.9918343;192.9769162;848.6432825;135.08;135.08;1;1;17;0;170.046;0;None;
2;g2;175.6911328;193.1006973;842.7618156;135.17;135.17;1;1;18;0;130.297;0;None;
3;g3;292.2756815;368.7398598;1005.571386;258.12;258.12;1;1;26;0;7009.322;0;None;
4;g4;292.956666;358.0789386;1115.598233;250.66;250.66;4;4;26;0;5652.392;0;None;
5;g5;290.3073383;359.0772178;1055.499723;251.35;251.35;1;1;27;0;3982.97;0;None;
6;g6;293.4717524;367.7625604;1039.358434;257.43;257.43;2;2;27;0;7232.174;0;None;
7;g7;293.5308454;367.8471318;1068.056199;257.49;257.49;4;4;27;0;4622.737;0;None;
8;g8;293.7535465;367.6970303;1146.825984;257.39;257.39;1;1;28;0;5374.945;0;None;
9;g9;291.0855715;368.9932924;946.2588947;258.3;258.3;2;2;28;0;5450.853;0;None;
10;g10;292.1512435;368.6183939;1044.104756;258.03;258.03;2;2;28;0;7352.612;0;None;
11;g11;293.1550713;368.1889006;1153.582431;257.73;257.73;2;2;29;0;5266.927;0;None;
12;g12;291.9450494;368.9509165;1062.119322;258.27;258.27;4;4;29;0;7428.769;0;None;
13;g13;292.7782265;368.1921864;978.6737955;257.73;257.73;4;4;29;0;6042.955;0;None;
14;g14;172.4756305;207.667506;747.2246011000001;145.37;145.37;2;2;43;0;544.613;0;None;
15;g15;168.5421305;241.6550969;585.8586273;169.16;169.16;2;2;43;0;2829.108;0;None;
16;g16;171.6988561;240.6225434;607.5213018;168.44;168.44;1;1;43;0;3666.369;0;None;
17;g17;177.5434981;216.3442058;765.9387866;151.44;151.44;1;1;44;0;510.618;0;None;
18;g18;175.3581042;217.7653508;737.2606243;152.44;152.44;2;2;44;0;687.716;0;None;
19;g19;179.5676681;214.9181991;740.3759778;150.44;150.44;1;1;44;0;406.654;0;None;
20;g20;357.8524236;500.0;889.548351;350.0;350.0;4;4;45;0;5504.099;0;None;
21;g21;361.352291;500.0;947.5235342;350.0;350.0;1;1;45;0;6457.187;0;None;
22;g22;156.8776507;214.0121398;796.0496632;149.81;149.81;1;1;55;0;705.558;0;None;
23;g23;154.6552606;214.6898142;779.0767577;150.28;150.28;4;4;56;0;832.999;0;None;
24;g24;164.6949058;213.350549;763.5140325;149.35;149.35;2;2;56;0;496.627;0;None;
25;g25;162.3099679;213.9663606;758.7373972;149.78;149.78;4;4;57;0;603.898;0;None;
26;g26;158.9314806;213.5403801;794.3386376;149.48;149.48;1;1;58;0;611.637;0;None;
27;g27;156.9987837;213.2593821;822.2548908;149.28;149.28;2;2;58;0;611.582;0;None;
28;g28;159.9341857;215.1167917;730.2399729;150.58;150.58;4;4;58;0;778.827;0;None;
29;g29;63.0;63.0;365.9747268;44.1;44.1;2;2;59;0;220.51;0;None;
30;g30;178.2339744;220.0633028;735.4513483;154.04;154.04;4;4;78;0;3378.731;0;None;
31;g31;176.159933;220.5396549;727.6130804;154.38;154.38;2;2;78;0;3821.384;0;None;
32;g32;181.1055087;212.1510175;767.7218701999999;148.51;148.51;1;1;79;0;447.58;0;None;
33;g33;184.7678137;220.2716779;768.8483147;154.19;154.19;4;4;79;0;4442.068;0;None;
34;g34;182.1421684;218.5340331;754.9090143000001;152.97;152.97;2;2;79;0;2347.001;0;None;
35;g35;220.0171793;379.3050207;809.94891;265.51;265.51;1;1;82;0;3293.095;0;None;
36;g36;222.9694047;367.8101758;731.0227449;257.47;257.47;2;2;82;0;5421.148;0;None;
37;g37;127.2265577;221.3093729;443.7603326;154.92;154.92;2;2;104;0;1656.377;0;None;
38;g38;165.1532188;216.4265507;750.7120381;151.5;151.5;1;1;105;0;792.942;0;None;
39;g39;89.11253628;116.1917319;451.7807918;81.33;81.33;1;1;106;0;784.04;0;None;
40;g40;88.74271813;116.4944859;503.2461822;81.55;81.55;1;1;107;0;690.16;0;None;
41;g41;97.21334843;116.9647421;712.3719603;81.88;81.88;4;4;116;0;321.242;0;None;
