<BEGIN>
Bus/Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;
Bus3;125.5230216;120.5891909;117.3015943;115.3605012;116.5988743;119.0117324;125.7687349;130.6976622;133.5478975;136.7372024;135.5381365;136.1720652;131.8525017;130.7271464;130.1620252;132.3095244;143.6023194;156.9983872;153.1554921;155.7305298;155.4798972;148.3002755;140.5358711;131.2234763;124.8792701;120.2157018;114.8150255;116.3285961;117.5374848;124.9628037;133.7002384;138.9240087;143.0765052;149.2192246;149.9465255;147.7203961;
Bus4;142.4894224;136.8886968;133.1567272;130.953262;132.3590216;135.098028;142.7683414;148.3634928;151.5989727;155.2193619;153.858228;154.5778465;149.6744106;148.3969541;147.7554387;150.1932131;163.0124042;178.2191538;173.8568332;176.7799328;176.4954235;168.3453592;159.5314665;148.9603823;141.7586394;136.4647361;130.3340596;132.0522155;133.4244978;141.8534812;151.7719016;157.7017462;162.4155146;169.3885224;170.2141311;167.6871211;
Bus10;111.3912995;107.0129271;104.0954496;102.3728854;103.4718388;105.6130611;111.6093493;115.9833613;118.5127032;121.3429416;120.278871;120.8414368;117.0081727;116.0095234;115.5080186;117.4137498;127.4351735;139.3230692;135.9128236;138.1979536;137.9755435;131.6042169;124.713944;116.4499833;110.820013;106.6814921;101.888822;103.2319873;104.3047786;110.894155;118.6478902;123.2835556;126.9685515;132.4197152;133.0651278;131.089631;
Bus15;49.60237168;47.65270158;46.35355507;45.58649977;46.07584991;47.02934636;49.69948144;51.64721892;52.77353242;54.03383502;53.56000967;53.81051452;52.1035709;51.65886251;51.435542;52.28416631;56.74669519;62.04035904;60.52177322;61.53933337;61.44030697;58.60316867;55.5349315;51.85499867;49.34798563;47.50510433;45.37094166;45.96904514;46.44676766;49.38099976;52.83373088;54.89798411;56.53889947;58.96630806;59.25370823;58.37401838;
Bus21;134.0020613;128.7349429;125.2252876;123.1530643;124.4750827;127.0509351;134.2643695;139.5262491;142.5690109;145.9737462;144.6937021;145.3704517;140.7590957;139.5577299;138.9544195;141.2469764;153.3026101;167.6035715;163.5010995;166.2500723;165.9825094;158.3179139;150.0290209;140.087585;133.3148181;128.3362339;122.5707412;124.1865485;125.4771021;133.4040057;142.7316377;148.3082775;152.7412742;159.2989462;160.0753611;157.6988712;
Bus22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus26;139.0728678;133.6064348;129.9639563;127.8133106;129.1853693;131.8586987;139.3450946;144.806097;147.9639851;151.4975664;150.1690794;150.8714321;146.0855821;144.8387598;144.2126255;146.5919424;159.1037523;173.945893;169.6881732;172.5411717;172.2634984;164.3088514;155.7062844;145.3886598;138.3596222;133.1926323;127.2089621;128.8859102;130.2253062;138.4521799;148.1327772;153.920439;158.5211736;165.3270025;166.132806;163.6663777;
Bus29;127.1024608;122.1065309;118.7775829;116.8120525;118.0660142;120.5092351;127.3512566;132.3422032;135.2282956;138.4577382;137.2435787;137.8854934;133.5115771;132.3720548;131.799826;133.9743339;145.4092318;158.973868;155.0826097;157.6900546;157.4362755;150.1663002;142.3041951;132.8746458;126.4505955;121.7283619;116.2597088;117.7923181;119.0164281;126.5351992;135.3825532;140.6720643;144.8768052;151.096829;151.833266;149.5791376;
Bus32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus38;35.53714098;34.14030972;33.20955739;32.66000879;33.01061016;33.69371663;35.60671501;37.00215671;37.80909409;38.7120232;38.37255431;38.55203167;37.32910355;37.01049409;36.85050257;37.45849272;40.65562393;44.44822325;43.36024255;44.08926852;44.0183209;41.98567626;39.78746587;37.15101575;35.35490046;34.03457508;32.50557552;32.93408831;33.27633632;35.37853902;37.85221849;39.33112986;40.50674892;42.24584417;42.45175519;41.82150007;
Bus39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus42;17.30721128;16.62693186;16.17363053;15.9060037;16.07674438;16.40942516;17.3410879;18.0206965;18.41368756;18.85342866;18.68810249;18.77551724;18.17992136;18.02476936;17.94684197;18.24294688;19.80000924;21.64705924;21.11720411;21.4722457;21.43769826;20.4477537;19.37719846;18.0931934;17.21845488;16.57543813;15.83079155;16.0394817;16.20616549;17.22997069;18.43469074;19.15494808;19.72749636;20.57445958;20.67474776;20.36781384;
Bus44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus52;106.0711221;101.9018551;99.12373337;97.48344091;98.52991038;100.568848;106.2787422;110.4438564;112.8523861;115.5474535;114.5342218;115.0699066;111.4197296;110.4687727;109.9912099;111.8059166;121.3487075;132.6688306;129.4214673;131.5974448;131.385672;125.3186439;118.7574582;110.8881815;105.5271158;101.5862484;97.02248899;98.30151078;99.32306393;105.597712;112.9811205;117.395382;120.9043824;126.0951866;126.7097891;124.8286389;
