<BEGIN>
<Buses>
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
3;Bus3;Ref;45;1;sys1;1
4;Bus4;;45;1;sys1;1
10;Bus10;;45;1;sys1;1
15;Bus15;;45;1;sys1;1
21;Bus21;;45;1;sys1;1
22;Bus22;;45;1;sys1;1
26;Bus26;;45;1;sys1;1
29;Bus29;;45;1;sys1;1
32;Bus32;;45;1;sys1;1
33;Bus33;;45;1;sys1;1
38;Bus38;;45;1;sys1;1
39;Bus39;;45;1;sys1;1
42;Bus42;;45;1;sys1;1
44;Bus44;;45;1;sys1;1
51;Bus51;;45;1;sys1;1
52;Bus52;;45;1;sys1;1
53;Bus53;;45;1;sys1;1
58;Bus58;;45;1;sys1;1
59;Bus59;;45;1;sys1;1
69;Bus69;;45;1;sys1;1
71;Bus71;;45;1;sys1;1
72;Bus72;;45;1;sys1;1
75;Bus75;;45;1;sys1;1
76;Bus76;;45;1;sys1;1
77;Bus77;;45;1;sys1;1
89;Bus89;;45;1;sys1;1
90;Bus90;;45;1;sys1;1
91;Bus91;;45;1;sys1;1
96;Bus96;;45;1;sys1;1
113;Bus113;;45;1;sys1;1
115;Bus115;;45;1;sys1;1
118;Bus118;;45;1;sys1;1
124;Bus124;;45;1;sys1;1
128;Bus128;;45;1;sys1;1
130;Bus130;;45;1;sys1;1
132;Bus132;;45;1;sys1;1
133;Bus133;;45;1;sys1;1
138;Bus138;;45;1;sys1;1
139;Bus139;;45;1;sys1;1
140;Bus140;;45;1;sys1;1
143;Bus143;;45;1;sys1;1
145;Bus145;;45;1;sys1;1
148;Bus148;;45;1;sys1;1
150;Bus150;;45;1;sys1;1
163;Bus163;;45;1;sys1;1
164;Bus164;;45;1;sys1;1
171;Bus171;;45;1;sys1;1
172;Bus172;;45;1;sys1;1
174;Bus174;;45;1;sys1;1
177;Bus177;;45;1;sys1;1
179;Bus179;;45;1;sys1;1
184;Bus184;;45;1;sys1;1
188;Bus188;;45;1;sys1;1
194;Bus194;;45;1;sys1;1
195;Bus195;;45;1;sys1;1
196;Bus196;;45;1;sys1;1
198;Bus198;;45;1;sys1;1
199;Bus199;;45;1;sys1;1
201;Bus201;;45;1;sys1;1
205;Bus205;;45;1;sys1;1
207;Bus207;;45;1;sys1;1
211;Bus211;;45;1;sys1;1
216;Bus216;;45;1;sys1;1
217;Bus217;;45;1;sys1;1
218;Bus218;;45;1;sys1;1
221;Bus221;;45;1;sys1;1
225;Bus225;;45;1;sys1;1
228;Bus228;;45;1;sys1;1
230;Bus230;;45;1;sys1;1
231;Bus231;;45;1;sys1;1
236;Bus236;;45;1;sys1;1
243;Bus243;;45;1;sys1;1
244;Bus244;;45;1;sys1;1
249;Bus249;;45;1;sys1;1
257;Bus257;;45;1;sys1;1
261;Bus261;;45;1;sys1;1
264;Bus264;;45;1;sys1;1
266;Bus266;;45;1;sys1;1
267;Bus267;;45;1;sys1;1
268;Bus268;;45;1;sys1;1
271;Bus271;;45;1;sys1;1
275;Bus275;;45;1;sys1;1
280;Bus280;;45;1;sys1;1
281;Bus281;;45;1;sys1;1
