<BEGIN>;;;;;;;;;;;;;;;;;
<Thermal generating units>;;;;;;;;;;;;;;;;;
Plant's Name;Plant's ID;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus;Standard linear generation cost ($/MWh);Constant cost ($);Start-up cost ($);Shut-down cost ($);Minimum reactive generation (MVAr);Maximum reactive generation (MVAr);Maximum apparent power (MVA);Comments
g1;1;1;2.183796826;11.91181721;8.34;8.34;1;1;4;44.53887855;0;71.512;0;0;0;0;
g2;2;2;0.309485668;9.605513096;6.72;6.72;1;1;4;0;0;9.6215;0;0;0;0;
g3;3;3;0.426960326;8.730503539;6.11;6.11;1;1;5;0;0;11.9375;0;0;0;0;
g4;4;4;4.666192903;26.6071015;18.62;18.62;4;4;11;75.47354615;0;158.4555;0;0;0;0;
g5;5;5;1.388829527;17.57184229;12.3;12.3;1;1;11;40.15601736;0;116.965;0;0;0;0;
g6;6;6;0.64012535;7.618067863;5.33;5.33;2;2;17;0;0;13.8495;0;0;0;0;
g7;7;7;0;0.127251562;0.09;0.09;4;4;19;10.34290913;0;0;0;0;0;0;
g8;8;8;0.292055928;9.57001335;6.7;6.7;1;1;22;0;0;5.6095;0;0;0;0;
g9;9;9;1.955819692;15.98396982;11.19;11.19;2;2;24;52.8193307;0;127.459;0;0;0;0;
g10;10;10;3.287500698;28.37935041;19.87;19.87;2;2;24;0;0;294.135;0;0;0;0;
g11;11;11;2.085473608;27.95922986;19.57;19.57;2;2;25;0;0;235.1075;0;0;0;0;
g12;12;12;5.215617802;26.44213768;18.51;18.51;4;4;25;3.367309728;0;192.3025;0;0;0;0;
g13;13;13;0.381777533;7.330648603;5.13;5.13;4;4;40;0;0;8.9475;0;0;0;0;
g14;14;14;2.294398129;15.64977308;10.95;10.95;2;2;47;80.9410407;0;71.843;0;0;0;0;
g15;15;15;0.782782196;15.86990487;11.11;11.11;2;2;47;35.2670731;0;143.4885;0;0;0;0;
g16;16;16;3.434387082;22.70728124;15.9;15.9;1;1;48;29.09316288;0;136.5125;0;0;0;0;
g17;17;17;2.697955066;23.6939398;16.59;16.59;1;1;48;32.14033939;0;184.588;0;0;0;0;
g18;18;18;2.051106404;12.97601474;9.08;9.08;2;2;57;50.6018676;0;100.3985;0;0;0;0;
g19;19;19;3.446995289;23.7628223;16.63;16.63;1;1;64;73.3766563;0;197.598;0;0;0;0;
g20;20;20;4.501301317;20.37700165;14.26;14.26;4;4;64;0;0;131.717;0;0;0;0;
g21;21;21;2.032082776;27.35674045;19.15;19.15;1;1;69;14.32828218;0;166.505;0;0;0;0;
g22;22;22;4.488098855;22.71524788;15.9;15.9;1;1;70;47.69551013;0;129.955;0;0;0;0;
g23;23;23;0.588685963;6.144830943;4.3;4.3;4;4;85;0;0;6.42;0;0;0;0;
g24;24;24;0.988889903;9.2;6.44;6.44;2;2;86;0;0;5.7035;0;0;0;0;
g25;25;25;0;44.35714286;31.05;31.05;4;4;102;20.635;0;4.256;0;0;0;0;
g26;26;26;0.537655184;11.72534203;8.21;8.21;1;1;122;11.13693435;0;53.331;0;0;0;0;
