<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
1;g1;2.183796826;11.91181721;44.53887855;8.34;8.34;1;1;4;0;71.512;0;None;
2;g2;0.309485668;9.605513096;0.0;6.72;6.72;1;1;4;0;9.6215;0;None;
3;g3;0.426960326;8.730503539;0.0;6.11;6.11;1;1;5;0;11.9375;0;None;
4;g4;4.666192903;26.6071015;75.47354615;18.62;18.62;4;4;11;0;158.4555;0;None;
5;g5;1.388829527;17.57184229;40.15601736;12.3;12.3;1;1;11;0;116.965;0;None;
6;g6;0.64012535;7.618067863;0.0;5.33;5.33;2;2;17;0;13.8495;0;None;
7;g7;0.0;0.127251562;10.34290913;0.09;0.09;4;4;19;0;0.0;0;None;
8;g8;0.292055928;9.57001335;0.0;6.7;6.7;1;1;22;0;5.6095;0;None;
9;g9;1.955819692;15.98396982;52.8193307;11.19;11.19;2;2;24;0;127.459;0;None;
10;g10;3.287500698;28.37935041;0.0;19.87;19.87;2;2;24;0;294.135;0;None;
11;g11;2.085473608;27.95922986;0.0;19.57;19.57;2;2;25;0;235.1075;0;None;
12;g12;5.215617802;26.44213768;3.3673097279999995;18.51;18.51;4;4;25;0;192.3025;0;None;
13;g13;0.381777533;7.330648603;0.0;5.13;5.13;4;4;40;0;8.9475;0;None;
14;g14;2.294398129;15.64977308;80.9410407;10.95;10.95;2;2;47;0;71.843;0;None;
15;g15;0.782782196;15.86990487;35.2670731;11.11;11.11;2;2;47;0;143.4885;0;None;
16;g16;3.434387082;22.70728124;29.09316288;15.9;15.9;1;1;48;0;136.5125;0;None;
17;g17;2.697955066;23.6939398;32.14033939;16.59;16.59;1;1;48;0;184.588;0;None;
18;g18;2.051106404;12.97601474;50.6018676;9.08;9.08;2;2;57;0;100.3985;0;None;
19;g19;3.446995289;23.7628223;73.3766563;16.63;16.63;1;1;64;0;197.598;0;None;
20;g20;4.501301317;20.37700165;0.0;14.26;14.26;4;4;64;0;131.717;0;None;
21;g21;2.032082776;27.35674045;14.32828218;19.15;19.15;1;1;69;0;166.505;0;None;
22;g22;4.488098855;22.71524788;47.69551013;15.9;15.9;1;1;70;0;129.955;0;None;
23;g23;0.588685963;6.144830943;0.0;4.3;4.3;4;4;85;0;6.42;0;None;
24;g24;0.988889903;9.2;0.0;6.44;6.44;2;2;86;0;5.7035;0;None;
25;g25;0.0;44.35714286;20.635;31.05;31.05;4;4;102;0;4.256;0;None;
26;g26;0.537655184;11.72534203;11.13693435;8.21;8.21;1;1;122;0;53.331;0;None;
27;g27;0.715077092;8.3508969;0.0;5.85;5.85;2;2;124;0;10.016;0;None;
28;g28;1.658656785;25.78642239;0.0;18.05;18.05;4;4;125;0;208.454;0;None;
29;g29;1.170000144;11.99230798;30.19055458;8.39;8.39;2;2;125;0;78.998;0;None;
30;g30;0.157812556;16.78150524;2.807411245;11.75;11.75;4;4;132;0;178.1115;0;None;
31;g31;0.0;3.809979901;0.0;2.67;2.67;2;2;132;0;0.0;0;None;
32;g32;1.637099552;13.85996267;42.59719332;9.7;9.7;1;1;132;0;116.4115;0;None;
33;g33;0.697282446;13.9969102;32.95845322;9.8;9.8;4;4;132;0;93.1735;0;None;
34;g34;3.636154395;17.83507494;28.42690673;12.48;12.48;2;2;137;0;142.704;0;None;
35;g35;4.808841158;17.99804812;17.52823128;12.6;12.6;1;1;137;0;155.3565;0;None;
36;g36;0.256855043;5.017241945;0.0;3.51;3.51;2;2;156;0;2.6565;0;None;
37;g37;3.10730421;17.83481442;60.72279365;12.48;12.48;2;2;159;0;153.2515;0;None;
38;g38;0.357803197;17.62460512;17.91180418;12.34;12.34;1;1;159;0;168.772;0;None;
39;g39;2.435684873;25.0389258;3.221860121;17.53;17.53;1;1;178;0;187.195;0;None;
40;g40;0.338815643;10.57946188;7.992657315;7.41;7.41;1;1;191;0;6.951;0;None;
41;g41;0.503245363;10.61787182;1.50140723;7.43;7.43;4;4;191;0;12.075;0;None;
42;g42;5.956734402;29.52665809;64.16573865;20.67;20.67;2;2;193;0;226.5655;0;None;
43;g43;2.964848483;23.26065597;60.949923;16.28;16.28;4;4;195;0;189.9365;0;None;
44;g44;2.131977617;14.83956093;63.78668285;10.39;10.39;4;4;197;0;135.4;0;None;
45;g45;1.556328406;14.86536706;31.25132776;10.41;10.41;1;1;197;0;151.056;0;None;
46;g46;2.052230458;11.90567844;49.25591616;8.33;8.33;4;4;220;0;44.6875;0;None;
47;g47;0.066603344;5.696123053;0.0;3.99;3.99;1;1;227;0;0.7875;0;None;
48;g48;0.195961763;6.510815089;0.0;4.56;4.56;4;4;230;0;4.455;0;None;
49;g49;4.449777306;29.99185509;40.48757746;20.99;20.99;2;2;239;0;229.345;0;None;
50;g50;1.041198806;23.97823101;0.0;16.78;16.78;2;2;239;0;190.615;0;None;
51;g51;0.533371516;7.020479015;0.0;4.91;4.91;1;1;241;0;6.029;0;None;
52;g52;2.56328775;31.44765952;0.0;22.01;22.01;4;4;241;0;226.63;0;None;
53;g53;0.0;0.0;0.0;0.03;0.03;2;2;249;0;0.0;0;None;
54;g54;3.608918528;27.28876393;0.0;19.1;19.1;2;2;249;0;208.758;0;None;
55;g55;8.432460843;25.74842636;0.0;18.02;18.02;2;2;249;0;105.457;0;None;
56;g56;7.814605947;25.08139475;0.0;17.56;17.56;4;4;249;0;177.5785;0;None;
57;g57;2.321676091;25.80264578;2.199292745;18.06;18.06;2;2;259;0;176.0875;0;None;
58;g58;3.535160521;25.94406824;0.0;18.16;18.16;4;4;259;0;178.1785;0;None;
59;g59;4.613394744;25.61372899;47.70994816;17.93;17.93;2;2;261;0;177.1565;0;None;
60;g60;0.317188298;7.703262147;0.0;5.39;5.39;1;1;264;0;9.421;0;None;
61;g61;2.166700305;12.5874808;60.931829349999994;8.81;8.81;2;2;272;0;97.2715;0;None;
62;g62;2.549238971;11.34268231;47.82298073;7.94;7.94;2;2;285;0;40.28;0;None;
63;g63;0.728468329;24.97980028;5.33759508;17.49;17.49;2;2;298;0;206.37;0;None;
64;g64;2.366348413;11.98147353;45.76660222;8.39;8.39;4;4;299;0;58.845;0;None;
65;g65;2.351056348;14.89874977;63.8628786;10.43;10.43;4;4;308;0;104.2005;0;None;
