<BEGIN>
Bus/Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;
Bus1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus3;7.16089;6.87942;6.69187;6.58114;6.65178;6.78943;7.17491;7.4561;7.6187;7.80064;7.73224;7.7684;7.52198;7.45778;7.42554;7.54805;8.19229;8.95651;8.73728;8.88418;8.86989;8.4603;8.01735;7.48609;7.12417;6.85812;6.55002;6.63636;6.70533;7.12893;7.62739;7.9254;8.16229;8.51272;8.55421;8.42722;
Bus4;25.60735;24.60082;23.93014;23.53414;23.78678;24.27901;25.65748;26.663;27.24447;27.8951;27.65049;27.77981;26.8986;26.66902;26.55373;26.99183;29.29562;32.02849;31.24452;31.76984;31.71871;30.25403;28.67005;26.77027;25.47602;24.52463;23.42286;23.73164;23.97826;25.49306;27.27554;28.34122;29.18835;30.4415;30.58987;30.13573;
Bus5;6.87446;6.60425;6.4242;6.31789;6.38571;6.51786;6.88791;7.15785;7.31395;7.48862;7.42295;7.45767;7.2211;7.15947;7.12852;7.24613;7.8646;8.59825;8.38779;8.52882;8.51509;8.12189;7.69666;7.18665;6.8392;6.58379;6.28802;6.37091;6.43712;6.84378;7.32229;7.60838;7.8358;8.17221;8.21205;8.09013;
Bus6;7.44733;7.1546;6.95955;6.84438;6.91785;7.06101;7.46191;7.75434;7.92345;8.11267;8.04153;8.07914;7.82286;7.75609;7.72256;7.84997;8.51998;9.31477;9.08677;9.23955;9.22468;8.79871;8.33805;7.78554;7.40913;7.13244;6.81202;6.90182;6.97354;7.41409;7.93248;8.24241;8.48878;8.85323;8.89638;8.76431;
Bus7;0.68745;0.66042;0.64242;0.63179;0.63857;0.65179;0.68879;0.71579;0.7314;0.74886;0.74229;0.74577;0.72211;0.71595;0.71285;0.72461;0.78646;0.85983;0.83878;0.85288;0.85151;0.81219;0.76967;0.71867;0.68392;0.65838;0.6288;0.63709;0.64371;0.68438;0.73223;0.76084;0.78358;0.81722;0.8212;0.80901;
Bus8;14.78008;14.19913;13.81203;13.58346;13.72928;14.01339;14.80901;15.38938;15.72499;16.10053;15.95934;16.03398;15.52536;15.39286;15.32631;15.57918;16.90888;18.48624;18.03375;18.33695;18.30744;17.46206;16.54781;15.4513;14.70428;14.15516;13.51924;13.69746;13.8398;14.71412;15.74293;16.35802;16.84697;17.57026;17.6559;17.39378;
Bus9;7.39004;7.09957;6.90601;6.79173;6.86464;7.0067;7.40451;7.69469;7.8625;8.05026;7.97967;8.01699;7.76268;7.69643;7.66316;7.78959;8.45444;9.24312;9.01687;9.16848;9.15372;8.73103;8.27391;7.72565;7.35214;7.07758;6.75962;6.84873;6.9199;7.35706;7.87147;8.17901;8.42348;8.78513;8.82795;8.69689;
Bus10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus11;16.4987;15.85019;15.41807;15.16294;15.32571;15.64285;16.53099;17.17885;17.55348;17.97268;17.81508;17.8984;17.33064;17.18272;17.10844;17.39071;18.87503;20.6358;20.1307;20.46916;20.43622;19.49253;18.47198;17.24796;16.41408;15.8011;15.09124;15.29018;15.44908;16.42506;17.5735;18.26012;18.80592;19.61332;19.70891;19.41631;
Bus12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus14;29.50288;28.34323;27.57052;27.11428;27.40535;27.97246;29.56063;30.71912;31.38904;32.13865;31.85682;32.00582;30.99055;30.72605;30.59322;31.09797;33.75222;36.90083;35.9976;36.60283;36.54393;34.85643;33.03149;30.84271;29.35157;28.25545;26.98607;27.34182;27.62596;29.3712;31.42484;32.65264;33.62864;35.07242;35.24337;34.72014;
Bus15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus16;7.90563;7.59488;7.38783;7.26557;7.34357;7.49553;7.9211;8.23153;8.41104;8.61191;8.53639;8.57632;8.30426;8.23339;8.1978;8.33305;9.04429;9.88799;9.64596;9.80814;9.79235;9.34017;8.85116;8.26465;7.86508;7.57136;7.23122;7.32655;7.40268;7.87034;8.42064;8.74964;9.01117;9.39805;9.44385;9.30365;
Bus17;7.50462;7.20964;7.01308;6.89703;6.97107;7.11533;7.51931;7.81399;7.9844;8.17507;8.10339;8.14129;7.88303;7.81575;7.78197;7.91036;8.58552;9.38642;9.15667;9.31062;9.29564;8.86639;8.40218;7.84543;7.46613;7.18731;6.86442;6.95491;7.02719;7.47112;7.9935;8.30582;8.55408;8.92133;8.96482;8.83172;
