<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;g0;0.0;0;FALSE;FALSE;112;
1;g1;535.0;1;FALSE;FALSE;157;
2;g2;464.0;1;FALSE;FALSE;17;
3;g3;0.0;0;FALSE;FALSE;56;
4;g4;0.0;0;FALSE;FALSE;23;
5;g5;0.0;0;FALSE;FALSE;9;
6;g6;380.0;1;FALSE;FALSE;98;
7;g7;0.0;0;FALSE;FALSE;157;
8;g8;0.0;0;FALSE;FALSE;125;
9;g9;0.0;0;FALSE;FALSE;42;
10;g10;0.0;0;FALSE;FALSE;119;
11;g11;370.0;1;FALSE;FALSE;50;
12;g12;370.0;1;FALSE;FALSE;49;
13;g13;0.0;0;FALSE;FALSE;106;
14;g14;0.0;0;FALSE;FALSE;38;
15;g15;370.0;1;FALSE;FALSE;154;
16;g16;370.0;1;FALSE;FALSE;32;
17;g17;370.0;1;FALSE;FALSE;5;
18;g18;0.0;0;FALSE;FALSE;90;
19;g19;261.0;1;FALSE;FALSE;28;
20;g20;0.0;0;FALSE;FALSE;168;
21;g21;0.0;0;FALSE;FALSE;162;
22;g22;0.0;0;FALSE;FALSE;23;
23;g23;0.0;0;FALSE;FALSE;110;
24;g24;0.0;0;FALSE;FALSE;145;
25;g25;0.0;0;FALSE;FALSE;119;
26;g26;232.0;1;FALSE;FALSE;16;
27;g27;0.0;0;FALSE;FALSE;49;
28;g28;0.0;0;FALSE;FALSE;70;
29;g29;225.0;1;FALSE;FALSE;167;
30;g30;0.0;0;FALSE;FALSE;63;
31;g31;0.0;0;FALSE;FALSE;140;
32;g32;0.0;0;FALSE;FALSE;26;
33;g33;225.0;1;FALSE;FALSE;63;
34;g34;225.0;1;FALSE;FALSE;86;
35;g35;225.0;1;FALSE;FALSE;150;
36;g36;225.0;1;FALSE;FALSE;103;
37;g37;0.0;0;FALSE;FALSE;81;
38;g38;225.0;1;FALSE;FALSE;85;
39;g39;0.0;0;FALSE;FALSE;92;
40;g40;0.0;0;FALSE;FALSE;8;
41;g41;225.0;1;FALSE;FALSE;147;
42;g42;225.0;1;FALSE;FALSE;88;
43;g43;0.0;0;FALSE;FALSE;25;
44;g44;225.0;1;FALSE;FALSE;120;
45;g45;0.0;0;FALSE;FALSE;146;
