<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Reserve eligibility;Comments
0;g0;250.0;560.0;151.0;148.0;148.0;20;20;61;0;0.0;0;None;
1;g1;255.0;535.0;143.0;75.0;75.0;19;19;60;0;0.0;0;None;
2;g2;208.0;464.0;134.0;80.0;80.0;6;6;193;0;0.0;0;None;
3;g3;220.0;386.0;224.0;51.0;51.0;12;12;1214;0;0.0;0;None;
4;g4;220.0;383.0;158.0;50.0;50.0;14;14;98;0;0.0;0;None;
5;g5;220.0;383.0;152.0;50.0;50.0;14;14;1215;0;0.0;0;None;
6;g6;220.0;380.0;138.0;45.0;45.0;5;5;98;0;0.0;0;None;
7;g7;240.0;370.0;171.0;30.0;30.0;23;23;37;0;0.0;0;None;
8;g8;240.0;370.0;180.0;30.0;30.0;23;23;37;0;0.0;0;None;
9;g9;240.0;370.0;188.0;30.0;30.0;23;23;38;0;0.0;0;None;
10;g10;240.0;370.0;163.0;30.0;30.0;23;23;38;0;0.0;0;None;
11;g11;240.0;370.0;121.0;30.0;30.0;23;23;39;0;0.0;0;None;
12;g12;240.0;370.0;122.0;30.0;30.0;23;23;40;0;0.0;0;None;
13;g13;240.0;370.0;226.0;30.0;30.0;23;23;40;0;0.0;0;None;
14;g14;240.0;370.0;183.0;30.0;30.0;23;23;40;0;0.0;0;None;
15;g15;240.0;370.0;115.0;30.0;30.0;23;23;41;0;0.0;0;None;
16;g16;240.0;370.0;142.0;30.0;30.0;23;23;41;0;0.0;0;None;
17;g17;240.0;370.0;137.0;30.0;30.0;23;23;41;0;0.0;0;None;
18;g18;240.0;370.0;192.0;30.0;30.0;23;23;310;0;0.0;0;None;
19;g19;104.0;261.0;133.0;100.0;100.0;15;15;180;0;0.0;0;None;
20;g20;104.0;261.0;155.0;100.0;100.0;15;15;180;0;0.0;0;None;
21;g21;104.0;261.0;157.0;100.0;100.0;15;15;181;0;0.0;0;None;
22;g22;94.0;235.0;189.0;115.0;115.0;6;6;182;0;0.0;0;None;
23;g23;94.0;235.0;150.0;115.0;115.0;6;6;182;0;0.0;0;None;
24;g24;94.0;235.0;158.0;115.0;115.0;6;6;2580;0;0.0;0;None;
25;g25;100.0;232.0;171.0;40.0;40.0;6;6;172;0;0.0;0;None;
26;g26;100.0;232.0;141.0;40.0;40.0;6;6;175;0;0.0;0;None;
27;g27;120.0;230.0;175.0;47.0;47.0;21;21;1512;0;0.0;0;None;
28;g28;120.0;226.0;185.0;22.0;22.0;13;13;478;0;0.0;0;None;
29;g29;125.0;225.0;146.0;10.0;10.0;7;7;58;0;0.0;0;None;
30;g30;120.0;225.0;197.0;50.0;50.0;9;9;58;0;0.0;0;None;
31;g31;110.0;225.0;151.0;20.0;20.0;10;10;58;0;0.0;0;None;
32;g32;110.0;225.0;183.0;25.0;25.0;10;10;59;0;0.0;0;None;
33;g33;129.0;225.0;62.0;80.0;80.0;8;8;70;0;0.0;0;None;
34;g34;129.0;225.0;135.0;80.0;80.0;8;8;71;0;0.0;0;None;
35;g35;129.0;225.0;146.0;80.0;80.0;8;8;71;0;0.0;0;None;
36;g36;129.0;225.0;132.0;80.0;80.0;8;8;72;0;0.0;0;None;
37;g37;129.0;225.0;180.0;80.0;80.0;8;8;72;0;0.0;0;None;
38;g38;129.0;225.0;139.0;80.0;80.0;8;8;73;0;0.0;0;None;
39;g39;129.0;225.0;155.0;80.0;80.0;8;8;73;0;0.0;0;None;
40;g40;140.0;225.0;181.0;12.0;12.0;22;22;94;0;0.0;0;None;
41;g41;130.0;225.0;138.0;28.0;28.0;12;12;95;0;0.0;0;None;
42;g42;125.0;225.0;123.0;30.0;30.0;11;11;95;0;0.0;0;None;
43;g43;130.0;225.0;179.0;42.0;42.0;6;6;95;0;0.0;0;None;
44;g44;120.0;225.0;125.0;26.0;26.0;14;14;121;0;0.0;0;None;
45;g45;120.0;225.0;159.0;42.0;42.0;14;14;122;0;0.0;0;None;
46;g46;135.0;225.0;114.0;16.0;16.0;5;5;145;0;0.0;0;None;
47;g47;135.0;225.0;128.0;28.0;28.0;5;5;146;0;0.0;0;None;
48;g48;130.0;225.0;145.0;16.0;16.0;17;17;846;0;0.0;0;None;
49;g49;110.0;225.0;155.0;14.0;14.0;10;10;847;0;0.0;0;None;
50;g50;129.0;225.0;136.0;13.0;13.0;16;16;934;0;0.0;0;None;
51;g51;120.0;225.0;159.0;14.0;14.0;20;20;1513;0;0.0;0;None;
52;g52;125.0;225.0;164.0;400.0;400.0;13;13;1666;0;0.0;0;None;
53;g53;135.0;225.0;170.0;30.0;30.0;16;16;2062;0;0.0;0;None;
54;g54;135.0;225.0;154.0;30.0;30.0;16;16;2063;0;0.0;0;None;
55;g55;135.0;225.0;155.0;44.0;44.0;16;16;2064;0;0.0;0;None;
56;g56;90.0;222.0;171.0;75.0;75.0;14;14;173;0;0.0;0;None;
57;g57;90.0;222.0;153.0;75.0;75.0;14;14;174;0;0.0;0;None;
58;g58;90.0;222.0;132.0;75.0;75.0;14;14;175;0;0.0;0;None;
59;g59;90.0;222.0;143.0;75.0;75.0;14;14;2216;0;0.0;0;None;
60;g60;110.0;221.0;159.0;39.0;39.0;18;18;24;0;0.0;0;None;
61;g61;125.0;220.0;164.0;50.0;50.0;6;6;57;0;0.0;0;None;
62;g62;125.0;220.0;142.0;50.0;50.0;8;8;94;0;0.0;0;None;
63;g63;135.0;220.0;152.0;26.0;26.0;10;10;146;0;0.0;0;None;
64;g64;112.5;220.0;134.0;44.0;44.0;20;20;244;0;0.0;0;None;
65;g65;110.0;215.0;141.0;43.0;43.0;9;9;57;0;0.0;0;None;
66;g66;135.0;215.0;157.0;15.0;15.0;6;6;144;0;0.0;0;None;
67;g67;135.0;215.0;160.0;15.0;15.0;6;6;145;0;0.0;0;None;
68;g68;120.0;206.0;156.0;60.0;60.0;7;7;181;0;0.0;0;None;
69;g69;120.0;206.0;103.0;60.0;60.0;7;7;183;0;0.0;0;None;
70;g70;120.0;206.0;165.0;60.0;60.0;7;7;183;0;0.0;0;None;
71;g71;135.0;205.0;135.0;30.0;30.0;8;8;172;0;0.0;0;None;
72;g72;135.0;205.0;132.0;30.0;30.0;8;8;173;0;0.0;0;None;
73;g73;135.0;200.0;159.0;31.0;31.0;9;9;25;0;0.0;0;None;
74;g74;150.0;200.0;123.0;15.0;15.0;9;9;191;0;0.0;0;None;
75;g75;150.0;200.0;143.0;15.0;15.0;9;9;192;0;0.0;0;None;
76;g76;145.0;200.0;147.0;100.0;100.0;11;11;192;0;0.0;0;None;
77;g77;145.0;200.0;146.0;100.0;100.0;11;11;192;0;0.0;0;None;
78;g78;150.0;200.0;161.0;100.0;100.0;8;8;2449;0;0.0;0;None;
79;g79;145.0;200.0;178.0;100.0;100.0;8;8;2450;0;0.0;0;None;
80;g80;76.0;188.0;136.0;60.0;60.0;4;4;208;0;0.0;0;None;
81;g81;95.0;179.0;172.0;75.0;75.0;4;4;240;0;0.0;0;None;
82;g82;95.0;179.0;115.0;75.0;75.0;4;4;240;0;0.0;0;None;
83;g83;95.0;179.0;120.0;75.0;75.0;4;4;240;0;0.0;0;None;
84;g84;95.0;179.0;113.0;75.0;75.0;4;4;241;0;0.0;0;None;
85;g85;66.0;170.0;121.0;40.0;40.0;9;9;870;0;0.0;0;None;
86;g86;55.0;161.0;144.0;20.0;20.0;9;9;1901;0;0.0;0;None;
87;g87;55.0;161.0;136.0;20.0;20.0;9;9;1902;0;0.0;0;None;
88;g88;60.0;135.0;124.0;60.0;60.0;8;8;152;0;0.0;0;None;
89;g89;60.0;135.0;151.0;60.0;60.0;8;8;152;0;0.0;0;None;
